unplanned_downtime,Fraction of entire facility uptime,0.1,0.1,0.1
proc_avail_factor,Uptime excluding planned outages,0.9,0.9,0.9
scheduled_maintenance,"Scheduled maintenance, fraction of entire facility uptime",0.05,0.05,0.05
volume_defining_basis,"Are we converting from the step basis, or a constituent (extent) of the process basis?",brine_lime_throughput,brine_deboron_throughput,brine_SX_throughput
volume_defining_basis_unit,What unit is the process volume or constituent in?,L concentrated_lithium_brine,L brine_post_lime,L brine_post_boron
volume_defining_output,What is the output or output constituent that needs to be converted to,brine_post_lime,brine_post_boron,brine_post_polishing
volume_defining_output_unit,What unit is that output in?,L brine_post_lime,L brine_post_boron,L brine_post_polish
primary_input_1_name,,concentrated_lithium_brine,brine_post_lime,brine_post_boron
primary_input_1_units,Units after conversion is applied,L concentrated_lithium_brine,L brine-post lime,L brine post de-boron
primary_input_1_conversion_factor,Conversion factor of input into step basis; <1 means process number is numerically less than input number,1,1,1
primary_input_1_constituents,Names of input constituents,Li; K; Mg; Ca; Na; B; SO4,Li; K; Ca; Na; B; SO4,Li; Ca; Na; SO4
primary_input_1_constituent_fractions,Values of input constituents,,,
primary_input_1_constituent_units,Units for each input constituent,mg/L; mg/L; mg/L; mg/L; mg/L; mg/L; mg/L,mg/L; mg/L; mg/L; mg/L; mg/L; mg/L; mg/L,mg/L; mg/L; mg/L; mg/L; mg/L; mg/L; mg/L
primary_input_1_chemistry_dependence,Does the chemistry for this primary input depend on an output of the previous step? ,TRUE,TRUE,TRUE
reagent_1_name,Reagent name,lime,boron_package,organic_package
reagent_1_name_long,Long/descriptive reagent name,Lime (Ca(OH)2),B-removal package (resin+regen),"Li-SX organic package (extractant + modifier + diluent, plus composite)"
reagent_1_target_constituents,,Mg,B,Li
reagent_1_constituent_ratio,Reagent per target (e.g. kg/kg),3.506,1,0.5
reagent_1_target_constituents_eliminated,Fraction of constituent eliminated by target,1,1,0
reagent_1_units,,kg Ca(OH)2 per kg Mg,kg package per kg B removed,kg organic losses per kg Li recovered
reagent_2_name,Reagent name,,regen,strip_acid
reagent_2_name_long,Long/descriptive reagent name,,Regeneration reagent,Strip Acid (HCl)
reagent_2_target_constituents,,,B,Li
reagent_2_constituent_ratio,Reagent per target (e.g. kg/kg),,1.1,1
reagent_2_target_constituents_eliminated,Fraction of constituent eliminated by target,,0,0
reagent_2_units,,,mol reagent/mol B,kg HCl (100%) per kg Li recovered
reagent_3_name,Reagent name,,,scrub_makeup
reagent_3_name_long,Long/descriptive reagent name,,,Scrub/makeup (wash water or weak salt)
reagent_3_target_constituents,,,,brine_SX_throughput
reagent_3_constituent_ratio,Reagent per target (e.g. kg/kg),,,0.01
reagent_3_target_constituents_eliminated,Fraction of constituent eliminated by target,,,0
reagent_3_units,,,,m3 per m3 brine
primary_output_1_name,Output stream/material,brine_post_lime,brine_post_boron,brine_post_polishing
primary_output_1_step,The step or waste material tracker that this output goes to,2,3,Final
primary_output_1_yield_rate,Yield Rate,0.9,0.95,0.9
primary_output_1_units,Units after conversion is applied,L brine-post lime,L brine post de-boron,L polished brine
primary_output_1_conversion_factor,Convert from step-units to output units; <1 means output number is numerically less than process number,1,1,1
primary_output_1_constituents,,Li; K; Mg; Ca; Na; B; SO4,Li; K; Mg; Ca; Na; SO4,Li; K; Mg; Ca; Na; SO4
primary_output_1_constituent_units,,,,
primary_output_1_constituent_fractions,,,,
primary_output_1_chemistry_dependence,Does the chemistry for this primary output depend on the chemistry of any of the primary inputs?,TRUE,TRUE,TRUE
coproduct_1_name,,sludge_lime,boron_residue,brine_waste
coproduct_1_sink,,landfill,resin_regeneration,wastewater_treatment
coproduct_1_conversion_factor,,0.05,0.1,0.04
coproduct_1_units,,,,
coproduct_1_constituents,,Mg_Ca_sludge,B_organics,residual_salts
coproduct_1_constituent_fractions,,1,1,1
coproduct_2_name,,wastewater,,organic_loss
coproduct_2_sink,,wastewater_treatment,,solvent_recovery
coproduct_2_conversion_factor,,0.05,,0.01
coproduct_2_units,,,,
coproduct_2_constituents,,blowdown,,SX_organic
coproduct_2_constituent_fractions,,1,,1
